SimTime;SentPk;RcvdPk;LostPk;PacketLoss
5;2;2;0;0
12;9;8;1;11.1111
13;9;8;1;11.1111
14;10;11;-1;-10
15;11;9;2;18.1818
16;12;9;3;25
17;10;8;2;20
18;10;8;2;20
19;10;8;2;20
20;11;9;2;18.1818
30;15;14;1;6.66667
31;15;15;0;0
32;14;12;2;14.2857
33;15;13;2;13.3333
34;15;13;2;13.3333
35;15;14;1;6.66667
36;16;16;0;0
37;17;17;0;0
38;17;15;2;11.7647
39;18;17;1;5.55556
40;17;15;2;11.7647
41;18;18;0;0
42;19;18;1;5.26316
43;19;18;1;5.26316
44;19;18;1;5.26316
45;18;17;1;5.55556
46;20;18;2;10
47;20;18;2;10
48;20;21;-1;-5
49;20;19;1;5
50;20;18;2;10
51;21;18;3;14.2857
52;24;22;2;8.33333
53;23;21;2;8.69565
54;24;20;4;16.6667
55;24;22;2;8.33333
56;24;22;2;8.33333
57;24;21;3;12.5
58;23;25;-2;-8.69565
59;23;23;0;0
60;24;23;1;4.16667
61;25;22;3;12
62;27;24;3;11.1111
63;28;25;3;10.7143
64;30;28;2;6.66667
65;31;27;4;12.9032
66;31;26;5;16.129
67;31;26;5;16.129
68;31;29;2;6.45161
69;33;30;3;9.09091
70;31;30;1;3.22581
71;32;34;-2;-6.25
72;33;31;2;6.06061
73;33;30;3;9.09091
74;34;30;4;11.7647
75;34;32;2;5.88235
76;34;30;4;11.7647
85;38;37;1;2.63158
86;36;36;0;0
87;35;32;3;8.57143
88;35;31;4;11.4286
89;34;30;4;11.7647
90;35;32;3;8.57143
97;37;32;5;13.5135
98;37;32;5;13.5135
99;37;33;4;10.8108
100;39;30;9;23.0769
101;38;30;8;21.0526
102;38;35;3;7.89474
103;38;36;2;5.26316
104;38;32;6;15.7895
105;37;34;3;8.10811
106;39;35;4;10.2564
107;38;35;3;7.89474
108;40;38;2;5
109;40;42;-2;-5
110;40;37;3;7.5
111;43;38;5;11.6279
112;44;37;7;15.9091
113;45;45;0;0
114;47;40;7;14.8936
115;48;41;7;14.5833
116;49;45;4;8.16327
117;49;47;2;4.08163
118;51;48;3;5.88235
119;52;49;3;5.76923
120;54;47;7;12.963
130;57;52;5;8.77193
131;59;55;4;6.77966
132;56;51;5;8.92857
133;56;53;3;5.35714
134;53;49;4;7.54717
135;55;51;4;7.27273
136;53;51;2;3.77358
137;52;48;4;7.69231
138;51;46;5;9.80392
139;49;44;5;10.2041
140;47;41;6;12.766
141;44;39;5;11.3636
142;44;39;5;11.3636
143;42;37;5;11.9048
144;42;37;5;11.9048
145;42;39;3;7.14286
146;42;36;6;14.2857
147;42;37;5;11.9048
148;40;39;1;2.5
149;39;35;4;10.2564
150;39;38;1;2.5641
151;2;4;-2;-100
152;40;40;0;0
153;40;40;0;0
154;41;37;4;9.7561
155;41;35;6;14.6341
156;42;42;0;0
157;43;41;2;4.65116
158;43;42;1;2.32558
159;43;40;3;6.97674
160;43;43;0;0
161;43;41;2;4.65116
162;43;42;1;2.32558
